name,type,status,latitude,longitude,address,country,zip,timeZone
"DEN7","AMXL","Active","39.75261","-104.72718","22300 East 26th Avenue, Aurora, CO","United States","80019","America/Denver (UTC:-06:00)"
"DEN8","Traditional Non-Sort","Active","39.73494","-104.74139","21000 E 13th Ave, Aurora, CO","United States","80018","America/Denver (UTC:-06:00)"
"DEN9","AR Sortable","Active","40.46105","-104.99693","SW of I-25 & Country Rd 30, Loveland, CO","United States","80538","America/Denver (UTC:-06:00)"
"DEP1","Lockers +","Active","41.92153","-87.65368","1001 W Webster Avenue, Chicago, IL","United States","60614","America/Chicago (UTC:-05:00)"
"DER1","Delivery Station","Active","44.51326","11.16706","Via Caduti del 2 Agosto 1980 no. 3-5, Crespellano Valsamoggia","Italy","40056","Europe/Rome (UTC:+02:00)"
"DER2","Delivery Station","Active","44.0685","12.46153","Via P. Tosi, Santarcangelo di Romagna","Italy","47822","Europe/Rome (UTC:+02:00)"
"DER3","Delivery Station","Active","44.83859","10.36925","Via Giovanni Schiapparelli snc, Parma","Italy","43122","Europe/Rome (UTC:+02:00)"
"DER5","Delivery Station","Active","44.53946","11.29912","Via San Vitalino, Calderara di Reno","Italy","40012","Europe/Rome (UTC:+02:00)"
"DES2","Delivery Station","Active","-20.35985","-40.4191","Av. Guarapari, S/N, Cidade de Viana, EspÃ­rito Santo","Brazil","","America/Sao_Paulo (UTC:-03:00)"
"DET1","Traditional Non-Sort","Active","42.37664","-83.42329","39000 Amrhein Rd, Livonia, MI","United States","48150","America/Detroit (UTC:-04:00)"
"DET2","Traditional Non-Sort","Active","42.66628","-83.0505","50500 Mound Road, Shelby Township, MI","United States","48315","America/Detroit (UTC:-04:00)"
"DET3","AR Sortable","Active","42.64552","-83.25596","1200 Featherstone Road, Pontiac, MI","United States","48342","America/Detroit (UTC:-04:00)"
"DET6","AR Sortable","Active","42.44132","-83.11333","20110 Woodward Ave, Detroit, MI","United States","48203","America/Detroit (UTC:-04:00)"
"DET7","Returns","Active","42.17581","-83.36851","33700 Prescott ST, Romulus, MI","United States","48174","America/Detroit (UTC:-04:00)"
"DEW1","Delivery Station","Idle","40.834","-74.05046","10-12 Plant Road, Hasbrouck Heights, NJ","United States","07604","America/New_York (UTC:-04:00)"
"DEW5","Delivery Station","Active","40.28458","-74.70293","10 Princess Road, Lawrence Township, NJ","United States","08648","America/New_York (UTC:-04:00)"
"DEX2","Delivery Station","Active","50.73924","-3.42941","Plot DC1, Exeter Gateway, Exeter","United Kingdom","EX5 2DS","Europe/London (UTC:+01:00)"
"DEX3","Fulfillment Center","Active","28.52302","77.29139","Mathura Road, Mohan Cooperative Industrial Estate, New Delhi, Delhi","India","110044","Asia/Kolkata (UTC:+05:30)"
"DEX5","Delivery Station","Active","31.19973","30.02267","Plot 43-AI Nasseryah Agriculture, Cairo  Alexandria Agriculture Road, Alexandria","Egypt","","Africa/Cairo (UTC:+03:00)"
"DEY3","Delivery Station","Active","40.76285","-73.55103","1198 Prospect Avenue, Westbury, NY","United States","11590","America/New_York (UTC:-04:00)"
"DEY6","Delivery Station","Active","40.26666","-74.43489","6 Farrington Boulevard, Monroe Township, NJ","United States","08831","America/New_York (UTC:-04:00)"
"DEY9","Delivery Station","Idle","40.77185","-73.42681","1770 Walt Whitman Road & 540 Broad Hollow Road, Melville, NY","United States","11747","America/New_York (UTC:-04:00)"
"DFA5","Delivery Station","Active","37.64981","-122.39326","400-438 Littlefield Avenue, South San Francisco, CA","United States","94080","America/Los_Angeles (UTC:-07:00)"
"DFA8","Delivery Station","Idle","37.3171","-121.86827","1555 S Seventh St, San Jose, CA","United States","95112","America/Los_Angeles (UTC:-07:00)"
"DFA9","Delivery Station","Idle","37.71273","-121.88948","5160 Hacienda Dr, Dublin, CA","United States","94568","America/Los_Angeles (UTC:-07:00)"
